Participant,Speeds-Count,Speed1,Block,Distance,Direction,LToR-or-RToL,Execution-time,Speed2,Average,Reg,Speed1,Speed2,Average1,Average2,Average3,Relative-Speed
13,3,1,3,Medium,Vertical,L,1.01,0.0027888,0.001104771,0.001684029,1,3.66E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,3,Medium,Diagonal,R,0.063,1.39E-04,0.001104771,-0.000965771,1,0.007044555,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,3,Medium,Diagonal,L,0.067,1.55E-04,0.001104771,-0.000949771,1,3.62E-04,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,3,Long,Horizontal,R,0.091,1.61E-04,0.001104771,-0.000943771,1,0.033561903,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,3,Long,Horizontal,L,0.069,1.23E-04,0.001104771,-0.000981771,1,0.010155795,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,3,Long,Vertical,R,0.059,1.05E-04,0.001104771,-0.000999771,1,0.012863184,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,3,3,Long,Vertical,L,0.078,1.38E-04,0.001104771,-0.000966771,1,0.011511591,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,3,3,Long,Diagonal,R,1.003,0.001650493,0.001104771,0.000545722,1,0.00310211,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,3,Long,Diagonal,L,0.083,1.42E-04,0.001104771,-0.000962771,1,0.008877954,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,3,Long,Horizontal,R,0.095,1.68E-04,0.001104771,-0.000936771,1,0.0083996,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,3,Long,Horizontal,L,0.075,1.32E-04,0.001104771,-0.000972771,1,0.00472757,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,2,3,Long,Vertical,R,0.052,9.28E-05,0.001104771,-0.001011971,1,0.010531029,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,3,Long,Vertical,L,0.062,1.10E-04,0.001104771,-0.000994771,1,0.007358393,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,1,3,Long,Diagonal,R,0.088,1.33E-04,0.001104771,-0.000971771,1,0.003673852,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,3,Long,Diagonal,L,4.037,0.0069015,0.001104771,0.005796729,1,0.003718481,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,4,Short,Horizontal,R,0.047,2.92E-04,0.001104771,-0.000812771,1,0.00904355,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,4,Short,Horizontal,L,0.019,1.19E-04,0.001104771,-0.000985771,1,0.005164445,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,4,Short,Vertical,R,0.008,4.68E-05,0.001104771,-0.001057971,1,0.001837615,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,4,Short,Vertical,L,0.055,3.54E-04,0.001104771,-0.000750771,1,2.38E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,4,Short,Diagonal,R,0.098,3.28E-04,0.001104771,-0.000776771,1,1.58E-04,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,4,Short,Diagonal,L,0.049,1.77E-04,0.001104771,-0.000927771,1,0.02008218,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,4,Medium,Horizontal,R,1.042,0.002857423,0.001104771,0.001752652,1,4.60E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,4,Medium,Horizontal,L,1.046,0.002929788,0.001104771,0.001825017,1,0.016386506,0.006195928,2.48E-03,5.74E-04,-1.91E-03
