Participant,Speeds-Count,Speed1,Block,Distance,Direction,LToR-or-RToL,Execution-time,Speed2
3,2,2,3,Medium,Horizontal,L,1.023,0.002840571
3,2,1,3,Medium,Vertical,R,1.013,0.00290919
3,2,2,3,Medium,Vertical,L,0.024,7.36E-05
3,2,1,3,Medium,Diagonal,R,0.007,1.56E-05
3,2,2,3,Medium,Diagonal,L,1.023,0.00265883
3,2,1,3,Long,Horizontal,R,0.036,6.11E-05
3,2,2,3,Long,Horizontal,L,0.022,3.92E-05
3,2,1,3,Long,Vertical,R,0.034,5.99E-05
3,2,2,3,Long,Vertical,L,0.018,3.19E-05
3,2,1,3,Long,Diagonal,R,0.009,1.48E-05
3,2,2,3,Long,Diagonal,L,0.05,7.93E-05
3,2,1,3,Short,Horizontal,R,0.007,4.19E-05
3,2,2,3,Short,Horizontal,L,0.004,2.02E-05
3,2,1,3,Short,Vertical,R,0.013,7.96E-05
3,2,2,3,Short,Vertical,L,1.079,0.008140672
3,2,1,3,Short,Diagonal,R,0.033,1.66E-04
3,2,2,3,Short,Diagonal,L,0.07,3.14E-04
3,2,1,3,Medium,Horizontal,R,0.013,3.62E-05
3,2,2,3,Medium,Horizontal,L,0.015,3.90E-05
3,2,1,3,Medium,Vertical,R,0.054,1.56E-04
3,2,2,3,Medium,Vertical,L,0.056,1.52E-04
3,2,1,3,Medium,Diagonal,R,1.028,0.002893113
3,2,2,3,Medium,Diagonal,L,0.03,7.91E-05
3,2,1,3,Long,Horizontal,R,0.045,8.08E-05
3,2,2,3,Long,Horizontal,L,0.026,4.64E-05
3,2,1,3,Long,Vertical,R,0.037,6.56E-05
3,2,2,3,Long,Vertical,L,0.025,4.47E-05
3,2,1,3,Long,Diagonal,R,0.031,5.33E-05
3,2,2,3,Long,Diagonal,L,0.034,5.92E-05
3,2,1,4,Short,Horizontal,R,0.055,3.94E-04
3,2,1,4,Long,Diagonal,L,0.037,6.38E-05
3,2,2,4,Short,Horizontal,L,0.033,1.76E-04
3,2,2,4,Long,Diagonal,R,0.023,4.36E-05
3,2,1,4,Short,Vertical,R,0.022,1.39E-04
3,2,1,4,Long,Vertical,L,0.058,1.04E-04
3,2,1,4,Short,Vertical,L,0.009,5.81E-05
3,2,1,4,Long,Vertical,R,0.029,5.12E-05
3,2,2,4,Short,Diagonal,R,0.048,2.50E-04
3,2,2,4,Long,Horizontal,L,0.04,7.17E-05
3,2,1,4,Short,Diagonal,L,0.006,2.77E-05
3,2,1,4,Long,Horizontal,R,0.015,2.57E-05
3,2,2,4,Medium,Horizontal,R,0.04,1.12E-04
3,2,2,4,Medium,Diagonal,L,0.059,1.36E-04
3,2,1,4,Medium,Horizontal,L,0.023,6.29E-05
3,2,1,4,Medium,Diagonal,R,1.09,0.003085257
3,2,2,4,Medium,Vertical,R,0.008,2.23E-05
3,2,2,4,Medium,Vertical,L,0.039,1.09E-04
3,2,1,4,Medium,Vertical,L,1.005,0.002866799
3,2,1,4,Medium,Vertical,R,4.026,0.010613238
3,2,2,4,Medium,Diagonal,R,0.034,8.60E-05
3,2,2,4,Medium,Horizontal,L,0.024,6.16E-05
3,2,1,4,Medium,Diagonal,L,0.046,1.15E-04
3,2,1,4,Medium,Horizontal,R,0.063,1.80E-04
3,2,2,4,Long,Horizontal,R,0.012,2.10E-05
3,2,2,4,Short,Diagonal,L,0.013,6.69E-05
3,2,1,4,Long,Horizontal,L,0.04,6.86E-05
3,2,1,4,Short,Diagonal,R,0.009,3.91E-05
3,2,2,4,Long,Vertical,R,0.013,2.32E-05
3,2,2,4,Short,Vertical,L,0.023,1.87E-04
3,2,1,4,Long,Vertical,L,0.034,6.10E-05
3,2,1,4,Short,Vertical,R,0.098,7.09E-04
3,2,2,4,Long,Diagonal,R,0.057,9.68E-05
3,2,2,4,Short,Horizontal,L,0.035,1.93E-04
3,2,1,4,Long,Diagonal,L,0.033,5.23E-05
3,2,1,4,Short,Horizontal,R,0.011,6.96E-05
4,2,1,1,Short,Horizontal,R,2.024,0.014453825
4,2,1,1,Short,Horizontal,L,0.017,1.06E-04
4,2,1,1,Short,Vertical,R,0.099,6.18E-04
4,2,1,1,Short,Vertical,L,2.022,0.014483557
4,2,1,1,Short,Diagonal,R,1.022,0.004338735
4,2,1,1,Short,Diagonal,L,2.098,0.012112001
4,2,1,1,Medium,Horizontal,R,6.06,0.016828075
4,2,1,1,Medium,Horizontal,L,0.066,1.83E-04
4,2,1,1,Medium,Vertical,R,0.056,1.56E-04
4,2,1,1,Medium,Vertical,L,0.059,1.63E-04
4,2,1,1,Medium,Diagonal,R,0.048,1.32E-04
4,2,1,1,Medium,Diagonal,L,0.042,1.13E-04
4,2,1,1,Long,Horizontal,R,0.09,1.59E-04
4,2,1,1,Long,Horizontal,L,0.045,8.06E-05
4,2,1,1,Long,Vertical,R,0.025,4.36E-05
4,2,1,1,Long,Vertical,L,0.061,1.08E-04
4,2,1,1,Long,Diagonal,R,1.093,0.001946826
4,2,1,1,Long,Diagonal,L,0.071,1.25E-04
4,2,2,1,Short,Horizontal,R,2.002,0.01405648
4,2,2,1,Short,Horizontal,L,0.029,1.70E-04
4,2,2,1,Short,Vertical,R,0.03,1.85E-04
4,2,2,1,Short,Vertical,L,0.043,2.67E-04
4,2,2,1,Short,Diagonal,R,0.015,8.64E-05
4,2,2,1,Short,Diagonal,L,1.074,0.007831909
4,2,2,1,Medium,Horizontal,R,0.055,1.54E-04
4,2,2,1,Medium,Horizontal,L,0.012,3.29E-05
4,2,2,1,Medium,Vertical,R,0.048,1.32E-04
4,2,2,1,Medium,Vertical,L,0.019,5.05E-05
4,2,2,1,Medium,Diagonal,R,0.071,1.99E-04
4,2,2,1,Medium,Diagonal,L,0.087,2.68E-04
