Participant,Speeds-Count,Speed1,Block,Distance,Direction,LToR-or-RToL,Execution-time,Speed2,Average,Reg,OverAllAverage,Relative-Speed,Average1,Average2,average11,Speed1,Speed2
1,2,2,3,Long,Vertical,L,0.045,7.99E-05,0.003373259,-0.003293359,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,8.91E-05
1,2,1,3,Long,Diagonal,R,2.053,0.003494034,0.003373259,0.000120775,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,8.10E-05
1,2,2,3,Long,Diagonal,L,0.037,6.33E-05,0.003373259,-0.003309959,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,1.39E-04
1,2,1,4,Short,Horizontal,R,0.071,4.44E-04,0.003373259,-0.002929259,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,1.15E-04
1,2,1,4,Long,Diagonal,L,1.073,0.001869608,0.003373259,-0.001503651,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,6.62E-05
1,2,2,4,Short,Horizontal,L,0.008,4.85E-05,0.003373259,-0.003324759,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,9.29E-05
1,2,2,4,Long,Diagonal,R,0.045,7.41E-05,0.003373259,-0.003299159,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,4.28E-05
1,2,1,4,Short,Vertical,R,1.033,0.006451715,0.003373259,0.003078456,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,7.30E-05
1,2,1,4,Long,Vertical,L,2.036,0.003641636,0.003373259,0.000268377,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,4.37E-05
1,2,1,4,Short,Vertical,L,0.071,4.44E-04,0.003373259,-0.002929259,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,6.30E-05
1,2,1,4,Long,Vertical,R,3.033,0.005415208,0.003373259,0.002041949,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,9.33E-05
1,2,2,4,Short,Diagonal,R,0.011,4.85E-05,0.003373259,-0.003324759,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,1.84E-04
1,2,2,4,Long,Horizontal,L,0.041,7.30E-05,0.003373259,-0.003300259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,5.91E-05
1,2,1,4,Short,Diagonal,L,0.085,3.78E-04,0.003373259,-0.002995259,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,9.02E-05
1,2,1,4,Long,Horizontal,R,2.09,0.003697627,0.003373259,0.000324368,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,6.96E-05
1,2,2,4,Medium,Horizontal,R,0.025,6.68E-05,0.003373259,-0.003306459,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,7.18E-05
1,2,2,4,Medium,Diagonal,L,0.03,7.81E-05,0.003373259,-0.003295159,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,6.58E-05
1,2,1,4,Medium,Horizontal,L,2.02,0.005611111,0.003373259,0.002237852,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,1.07E-04
1,2,1,4,Medium,Diagonal,R,2.037,0.004855922,0.003373259,0.001482663,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,9.63E-05
1,2,2,4,Medium,Vertical,R,0.033,8.54E-05,0.003373259,-0.003287859,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,5.69E-05
1,2,2,4,Medium,Vertical,L,0.034,9.29E-05,0.003373259,-0.003280359,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,4.83E-05
1,2,1,4,Medium,Vertical,L,3.011,0.008386666,0.003373259,0.005013407,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,1.38E-04
1,2,1,4,Medium,Vertical,R,3.015,0.008374968,0.003373259,0.005001709,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,8.22E-05
1,2,2,4,Medium,Diagonal,R,0.029,7.24E-05,0.003373259,-0.003300859,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,1.01E-04
1,2,2,4,Medium,Horizontal,L,0.032,8.91E-05,0.003373259,-0.003284159,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,8.72E-05
1,2,1,4,Medium,Diagonal,L,1.099,0.00285628,0.003373259,-0.000516979,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,1.04E-04
1,2,1,4,Medium,Horizontal,R,2.049,0.00556921,0.003373259,0.002195951,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,6.61E-05
1,2,2,4,Long,Horizontal,R,0.077,1.38E-04,0.003373259,-0.003235259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,9.59E-05
1,2,2,4,Short,Diagonal,L,0.051,2.32E-04,0.003373259,-0.003141259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,2.72E-04
